,Train_Acc,Train_Loss,Test_Acc,Test_Loss,AUC,TN,FP,FN,TP,Accuracy,Precision,Recall,Specificity,FPR
0,94.12,0.15,72.73,0.24,0.73,8,4,2,8,0.73,0.67,0.80,0.67,0.33
1,100.00,0.02,63.64,0.26,0.63,9,3,5,5,0.64,0.63,0.50,0.75,0.25
2,100.00,0.00,63.64,0.30,0.63,9,3,5,5,0.64,0.63,0.50,0.75,0.25
3,100.00,0.00,63.64,0.31,0.63,9,3,5,5,0.64,0.63,0.50,0.75,0.25
4,100.00,0.00,63.64,0.32,0.63,9,3,5,5,0.64,0.63,0.50,0.75,0.25
5,94.12,0.15,63.64,0.26,0.66,8,6,2,6,0.64,0.50,0.75,0.57,0.43
6,96.08,0.05,59.09,0.28,0.60,8,6,3,5,0.59,0.45,0.63,0.57,0.43
7,96.08,0.04,59.09,0.29,0.60,8,6,3,5,0.59,0.45,0.63,0.57,0.43
8,98.04,0.04,63.64,0.31,0.69,7,7,1,7,0.64,0.50,0.88,0.50,0.50
9,98.04,0.03,59.09,0.33,0.63,7,7,2,6,0.59,0.46,0.75,0.50,0.50
10,98.04,0.12,45.45,0.30,0.44,7,6,6,3,0.45,0.33,0.33,0.54,0.46
11,98.04,0.02,45.45,0.39,0.44,7,6,6,3,0.45,0.33,0.33,0.54,0.46
12,98.04,0.02,45.45,0.40,0.44,7,6,6,3,0.45,0.33,0.33,0.54,0.46
13,98.04,0.02,45.45,0.40,0.44,7,6,6,3,0.45,0.33,0.33,0.54,0.46
14,98.04,0.02,45.45,0.41,0.44,7,6,6,3,0.45,0.33,0.33,0.54,0.46
15,100.00,0.10,36.36,0.37,0.35,2,8,6,6,0.36,0.43,0.50,0.20,0.80
16,100.00,0.00,36.36,0.49,0.35,2,8,6,6,0.36,0.43,0.50,0.20,0.80
17,100.00,0.00,36.36,0.51,0.35,2,8,6,6,0.36,0.43,0.50,0.20,0.80
18,100.00,0.00,36.36,0.52,0.35,2,8,6,6,0.36,0.43,0.50,0.20,0.80
19,100.00,0.00,36.36,0.52,0.35,2,8,6,6,0.36,0.43,0.50,0.20,0.80
20,92.16,0.14,68.18,0.21,0.64,11,3,4,4,0.68,0.57,0.50,0.79,0.21
21,98.04,0.03,72.73,0.20,0.71,11,3,3,5,0.73,0.63,0.63,0.79,0.21
22,100.00,0.01,72.73,0.21,0.71,11,3,3,5,0.73,0.63,0.63,0.79,0.21
23,100.00,0.00,72.73,0.22,0.71,11,3,3,5,0.73,0.63,0.63,0.79,0.21
24,100.00,0.00,72.73,0.23,0.71,11,3,3,5,0.73,0.63,0.63,0.79,0.21
25,78.43,0.22,40.91,0.26,0.45,5,10,3,4,0.41,0.29,0.57,0.33,0.67
26,88.24,0.11,77.27,0.29,0.68,14,1,4,3,0.77,0.75,0.43,0.93,0.07
27,90.20,0.08,54.55,0.28,0.55,8,7,3,4,0.55,0.36,0.57,0.53,0.47
28,98.04,0.06,68.18,0.27,0.58,13,2,5,2,0.68,0.50,0.29,0.87,0.13
29,100.00,0.01,68.18,0.26,0.58,13,2,5,2,0.68,0.50,0.29,0.87,0.13
30,98.04,0.13,68.18,0.30,0.67,10,4,3,5,0.68,0.56,0.63,0.71,0.29
31,98.04,0.02,63.64,0.32,0.63,9,5,3,5,0.64,0.50,0.63,0.64,0.36
32,100.00,0.00,68.18,0.33,0.67,10,4,3,5,0.68,0.56,0.63,0.71,0.29
33,100.00,0.00,68.18,0.33,0.67,10,4,3,5,0.68,0.56,0.63,0.71,0.29
34,100.00,0.00,68.18,0.33,0.67,10,4,3,5,0.68,0.56,0.63,0.71,0.29
35,60.78,0.24,40.91,0.28,0.50,9,0,13,0,0.41,,0.00,1.00,0.00
36,100.00,0.08,45.45,0.40,0.49,6,3,9,4,0.45,0.57,0.31,0.67,0.33
37,100.00,0.00,45.45,0.50,0.49,6,3,9,4,0.45,0.57,0.31,0.67,0.33
38,100.00,0.00,45.45,0.51,0.49,6,3,9,4,0.45,0.57,0.31,0.67,0.33
39,100.00,0.00,45.45,0.51,0.49,6,3,9,4,0.45,0.57,0.31,0.67,0.33
40,56.86,0.24,50.00,0.25,0.50,11,0,11,0,0.50,,0.00,1.00,0.00
41,98.04,0.08,59.09,0.29,0.59,6,5,4,7,0.59,0.58,0.64,0.55,0.45
42,98.04,0.02,59.09,0.32,0.59,6,5,4,7,0.59,0.58,0.64,0.55,0.45
43,100.00,0.01,54.55,0.35,0.55,6,5,5,6,0.55,0.55,0.55,0.55,0.45
44,100.00,0.00,54.55,0.38,0.55,6,5,5,6,0.55,0.55,0.55,0.55,0.45
45,94.12,0.13,81.82,0.21,0.87,11,4,0,7,0.82,0.64,1.00,0.73,0.27
46,100.00,0.02,77.27,0.21,0.83,10,5,0,7,0.77,0.58,1.00,0.67,0.33
47,100.00,0.00,77.27,0.21,0.83,10,5,0,7,0.77,0.58,1.00,0.67,0.33
48,100.00,0.00,77.27,0.22,0.83,10,5,0,7,0.77,0.58,1.00,0.67,0.33
49,100.00,0.00,77.27,0.22,0.83,10,5,0,7,0.77,0.58,1.00,0.67,0.33
AVG,96.31,0.05,58.73,0.32,0.59,8.06,4.64,4.44,4.86,0.59,0.52,0.55,0.63,0.37
